Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
5.56E+02,7.07E-02,,,8.00E+02,-0.37
5.52E+02,5.05E-02,,,8.03E+02,-0.39
5.48E+02,5.72E-02,,,8.06E+02,-0.42
5.44E+02,6.40E-02,,,8.11E+02,-0.30
5.41E+02,5.05E-02,,,8.18E+02,0.04
5.37E+02,4.38E-02,,,8.22E+02,0.02
5.33E+02,4.38E-02,,,8.26E+02,0.04
5.29E+02,3.20E-02,,,8.30E+02,0.05
5.26E+02,6.06E-02,,,8.33E+02,0.03
5.22E+02,5.72E-02,,,8.37E+02,0.02
5.18E+02,3.20E-02,,,8.42E+02,0.02
5.14E+02,6.56E-02,,,8.45E+02,0.03
5.10E+02,6.06E-02,,,8.49E+02,0.03
5.07E+02,6.73E-02,,,8.53E+02,0.04
5.03E+02,6.06E-02,,,8.56E+02,0.02
4.99E+02,4.04E-02,,,8.60E+02,0.03
4.95E+02,5.22E-02,,,8.64E+02,0.03
4.91E+02,5.72E-02,,,8.69E+02,0.04
4.87E+02,6.56E-02,,,8.72E+02,0.03
4.83E+02,6.73E-02,,,8.76E+02,0.03
4.79E+02,6.73E-02,,,8.80E+02,0.03
4.76E+02,5.72E-02,,,8.83E+02,0.02
4.72E+02,4.88E-02,,,8.88E+02,0.03
4.68E+02,6.56E-02,,,8.91E+02,0.03
4.64E+02,5.05E-02,,,8.95E+02,0.02
4.60E+02,5.05E-02,,,8.98E+02,0.01
4.57E+02,4.71E-02,,,9.03E+02,0.02
4.53E+02,3.20E-02,,,9.07E+02,0.02
4.49E+02,5.39E-02,,,9.11E+02,0.03
4.45E+02,4.88E-02,,,9.14E+02,0.02
4.41E+02,6.73E-02,,,9.18E+02,0.03
4.37E+02,5.89E-02,,,9.22E+02,0.03
4.34E+02,6.23E-02,,,9.26E+02,0.04
4.29E+02,3.37E-02,,,9.30E+02,0.02
4.26E+02,4.54E-02,,,9.34E+02,0.03
4.21E+02,5.89E-02,,,9.38E+02,0.03
4.17E+02,3.53E-02,,,9.41E+02,0.03
4.14E+02,4.38E-02,,,9.45E+02,0.03
4.10E+02,5.05E-02,,,9.49E+02,0.03
4.06E+02,2.86E-02,,,9.53E+02,0.02
4.02E+02,4.38E-02,,,9.57E+02,0.03
3.98E+02,4.04E-02,,,9.60E+02,0.03
3.95E+02,4.71E-02,,,9.64E+02,0.02
3.91E+02,3.87E-02,,,9.68E+02,0.03
3.88E+02,4.88E-02,,,9.72E+02,0.01
3.83E+02,4.71E-02,,,9.76E+02,0.03
3.80E+02,5.39E-02,,,9.80E+02,0.04
3.75E+02,4.88E-02,,,9.84E+02,0.05
3.72E+02,4.04E-02,,,9.87E+02,0.03
3.68E+02,4.04E-02,,,9.91E+02,0.04
3.65E+02,4.88E-02,,,9.96E+02,0.04
3.60E+02,3.87E-02,,,9.99E+02,0.03
3.56E+02,4.21E-02,,,1.00E+03,0.03
3.52E+02,5.05E-02,,,1.01E+03,0.02
3.48E+02,5.39E-02,,,1.01E+03,0.02
3.45E+02,5.55E-02,,,1.01E+03,0.01
3.41E+02,4.88E-02,,,1.02E+03,0.03
3.37E+02,3.20E-02,,,1.02E+03,0.04
3.33E+02,5.55E-02,,,1.03E+03,0.03
3.29E+02,5.22E-02,,,1.03E+03,0.05
3.26E+02,5.05E-02,,,1.03E+03,0.02
3.22E+02,4.38E-02,,,1.04E+03,0.04
3.18E+02,4.88E-02,,,1.04E+03,0.04
3.14E+02,5.05E-02,,,1.04E+03,0.03
3.10E+02,5.72E-02,,,1.05E+03,0.04
3.06E+02,4.54E-02,,,1.05E+03,0.02
3.03E+02,5.55E-02,,,1.06E+03,0.04
